id,satisfaction
70172,0
5047,0
110028,1
24026,0
119299,1
111157,0
82113,0
96462,1
79485,0
65725,0
34991,1
51412,0
98628,0
83502,0
95789,0
100580,0
71142,1
127461,1
70354,1
66246,0
39076,0
22434,0
43510,0
114090,0
105420,1
102956,0
18510,1
14925,1
118319,0
75460,0
48492,1
27809,0
70594,1
30089,0
58779,0
79659,0
110293,0
48014,0
96517,0
64685,0
64138,1
60373,0
14849,1
28319,1
103012,1
124114,1
107794,0
81983,0
53164,1
82042,0
72127,0
113046,1
1050,1
54886,0
125918,0
7467,1
78972,1
126625,1
114501,0
114813,0
32167,0
68001,1
117052,0
8661,1
57165,1
78610,1
51058,0
92027,1
115534,0
9261,1
61033,1
75930,0
112142,0
24518,0
112524,0
101639,1
85018,0
106922,0
32564,0
92242,0
73302,1
42267,0
121358,0
65655,1
88062,1
91330,1
22031,0
27921,0
51947,1
40017,0
76392,1
118486,1
6012,1
30183,1
41652,0
15138,1
123589,0
114534,0
93076,0
96963,0
85494,0
72989,1
42357,0
23040,0
65420,1
65045,0
37373,0
44405,0
16653,0
71655,0
77591,1
4585,0
108347,0
23400,0
31010,1
57513,0
20979,0
95841,1
114684,1
111667,0
20101,0
63212,1
8256,0
56161,1
121196,0
23788,1
129579,1
127516,0
18012,0
45561,1
5228,1
18311,0
59891,0
60651,0
51013,0
91746,1
4233,1
14187,0
19669,0
31147,1
128842,0
27562,0
775,0
14070,0
106007,0
116004,0
68886,1
72413,1
73604,1
48415,0
105708,1
65579,0
73058,0
65585,0
8346,1
79678,0
112483,0
31698,0
74030,1
124931,0
73924,1
76073,1
104623,1
58523,0
121929,1
30704,1
58896,0
26920,0
13884,1
87681,1
81719,1
85554,1
12645,0
101275,1
95982,1
74610,0
76449,1
14030,1
69692,1
47648,0
52168,1
60251,0
35881,0
28852,1
55341,0
84553,0
100249,1
2463,0
22924,0
25542,0
115972,0
2980,0
125097,0
46701,0
108006,1
19578,0
59508,1
56446,0
48800,0
129592,0
114039,1
66800,1
106799,0
47057,1
61824,0
68207,0
125512,0
93019,1
87296,0
76748,0
85879,1
63961,0
94760,0
49608,1
80520,0
23328,1
13560,0
119121,0
42917,1
52954,0
83112,0
88574,0
111570,1
28662,0
27177,0
129585,1
35759,0
49475,0
78904,0
29619,0
77512,1
31631,1
38913,0
35366,0
111817,0
12259,0
19790,0
33260,0
107079,0
15174,1
23620,0
18128,1
105291,1
56451,0
102068,0
57995,1
146,1
18770,0
42774,1
13776,0
103702,0
69826,0
57906,0
31358,1
92805,1
104375,0
109896,0
102955,0
44736,0
28135,1
55871,1
8818,0
86148,0
120162,0
117547,1
112385,0
19908,0
45098,1
43810,1
22981,1
68134,1
23518,0
109188,0
1150,0
44586,0
84299,1
103793,1
35032,1
103291,1
93909,1
127925,0
128097,0
26149,0
95886,0
125425,0
120078,0
60625,0
115031,1
37077,0
69252,0
12194,0
80188,0
10430,1
21262,0
55236,1
126917,1
112190,1
16342,0
2201,0
53687,1
47168,0
8782,1
75468,0
663,1
74740,0
117904,0
59599,0
29479,1
105096,1
94421,1
49058,0
47795,1
125451,1
96114,1
23241,0
106258,1
64874,0
100136,1
51774,0
124301,1
36127,0
121855,1
52648,0
38803,0
39916,1
95301,0
16505,0
63771,1
51960,0
111305,0
114340,0
17379,1
65992,0
104578,1
7443,0
67768,0
89581,1
47417,0
30231,1
14343,0
79924,0
105654,0
29495,0
98183,0
87554,0
83683,1
74603,0
83191,1
110103,1
57026,1
91205,0
55470,1
53922,0
129138,1
2034,1
37286,1
32818,0
46695,0
121598,1
44039,0
102733,0
85600,1
10833,1
81553,1
24745,0
58871,1
68900,1
31952,1
98758,1
59963,1
38236,1
43811,1
58215,0
88293,1
37225,1
43935,1
48899,1
99082,0
75859,0
85109,1
118135,0
89169,0
4988,0
81441,1
37707,0
94317,1
42242,1
8085,1
42926,1
114663,1
63597,1
78220,0
2902,0
71673,0
128042,0
53847,0
42369,0
110474,0
17284,1
69457,0
83974,1
107761,0
37834,1
25904,1
73190,0
70160,0
126642,1
76228,0
18983,1
42803,1
65527,0
5441,1
18473,1
98337,0
68782,0
98247,1
67119,0
91319,0
111275,0
60787,0
65894,1
67702,1
55982,1
38230,0
48253,0
89431,0
117314,0
14155,1
123078,1
50137,0
41799,1
47037,1
115397,0
35221,1
52892,0
90041,1
26751,0
66071,0
33552,0
107354,0
83598,1
117725,1
34210,0
129245,0
16810,0
88356,0
3875,0
4749,1
9559,1
112110,1
114915,1
66011,1
60450,1
129469,0
62153,1
39499,1
19091,0
48260,0
96830,1
126561,0
69098,1
89178,0
48501,0
109465,1
62274,0
98908,1
17357,0
115331,1
65150,0
42257,0
116136,0
36244,1
109049,0
111496,1
8105,0
19478,1
79579,0
26935,1
81010,1
32348,1
122747,0
88118,1
5622,0
97335,1
72995,0
21707,0
120201,0
42929,1
117511,0
125569,0
128566,0
16040,0
27289,1
61198,0
120723,1
73793,0
36093,0
66777,0
91068,0
120574,0
30294,1
99081,1
12094,0
11849,0
2671,0
55140,0
75362,0
5763,0
12659,0
21207,0
45421,1
51952,1
80873,0
119054,0
128651,1
65790,1
71834,0
94138,1
5255,0
115771,0
73967,0
32801,0
36503,1
63315,0
51581,1
77979,1
117451,0
58912,0
11244,0
122058,0
6133,1
63668,1
73903,0
104087,0
9170,1
105685,1
115282,1
16311,1
77671,0
19381,1
94026,1
122163,1
7179,1
20625,1
124273,1
1600,0
23359,1
80613,1
45303,1
21580,0
65318,1
52768,0
49507,0
121964,1
63942,0
81471,1
54997,1
59017,1
112287,0
97003,0
102913,1
21546,0
121044,0
126814,1
1936,1
17630,1
82979,1
9557,1
76350,1
94609,1
86573,0
38421,0
12479,0
108382,0
99249,0
128013,1
3468,0
71012,1
116293,0
103164,0
29908,1
37280,1
90266,1
63145,1
113897,0
80519,0
107210,0
48034,0
49907,1
15360,1
107856,1
96716,0
57625,0
87442,1
115872,1
37667,0
102881,0
107099,0
55791,1
4388,0
44731,1
102620,0
53749,0
126263,0
18176,1
121318,1
120225,0
60742,1
82016,0
58490,1
100263,1
57121,0
15260,1
97911,1
115837,0
28457,1
104313,1
39072,0
128176,0
112243,1
24065,1
12170,0
5803,0
17005,1
9072,0
56156,1
49879,1
78234,1
23979,1
113199,1
73887,1
68000,1
69413,1
26761,0
64701,0
36377,0
25233,1
36416,1
71469,0
26626,0
72406,0
79582,1
55969,1
85246,1
75174,0
50505,0
57856,0
75346,0
23259,0
46011,0
53413,1
123560,1
128777,1
114619,1
217,0
4110,1
78446,1
7017,0
16254,0
45852,0
64004,0
78310,0
127082,0
47006,0
43972,1
119682,1
3616,1
40304,0
120760,1
8115,0
36058,1
58068,0
125757,1
94659,0
97953,1
78114,1
77532,0
80601,1
62020,0
99600,0
62446,1
29914,1
96450,1
107479,1
115588,0
112892,0
96804,1
98887,0
58394,1
17658,0
51563,1
114287,0
95974,1
35423,0
98723,0
117443,1
47902,1
84336,0
35611,0
787,1
6164,0
111698,0
51329,0
97195,0
51306,0
60876,1
98658,0
79373,1
41573,1
17698,1
9064,0
109937,0
91986,0
85593,1
127131,0
72336,1
92079,0
129624,1
33264,1
7809,0
15204,1
91327,0
35098,1
109569,0
1016,0
101713,0
61813,0
119989,0
51604,1
109352,0
128573,0
79499,1
99632,0
22493,0
88713,0
36663,0
54626,0
68235,0
40073,0
52290,0
22475,0
61452,1
53871,0
93869,1
31387,0
8229,0
43957,0
81025,1
10342,1
119130,1
49877,0
49324,0
60275,1
52082,0
107758,0
71587,1
73094,1
95553,0
104483,0
104897,1
53833,1
13037,0
54986,0
23505,1
44741,0
112372,0
113838,0
113052,1
62069,0
123872,0
118170,0
71934,1
112283,0
31461,1
111274,0
90137,1
5487,1
110992,1
50393,0
80171,0
56924,0
107024,1
52497,1
40922,0
35817,0
24382,0
30503,0
125286,0
40195,0
29132,0
73526,1
27085,0
38072,0
125941,0
6274,0
15661,1
47330,1
76908,0
20699,0
105516,1
15954,0
90062,1
75964,1
49278,0
77611,0
15635,0
39624,0
88385,1
23805,1
94249,1
129860,1
49027,1
117434,0
36119,1
108847,1
6188,0
112196,1
128755,1
20202,0
94882,0
105189,0
3683,0
59771,0
94669,1
110029,0
101614,1
91499,0
49265,1
26940,0
70422,0
53072,1
24772,1
69268,0
45409,1
106509,0
86905,1
126448,1
11604,0
76118,0
126508,1
97029,0
48727,1
60235,1
4278,1
129841,0
33126,0
51916,0
6667,0
123198,0
63650,1
7757,0
91112,0
17321,0
48958,0
98244,1
42260,1
15496,0
43188,1
78190,1
18621,0
38896,1
45223,0
36798,0
78687,0
110051,0
25848,0
53234,0
73548,0
73085,0
68153,1
120499,0
86286,0
92452,0
80419,1
56744,0
58845,1
35204,1
67010,1
106606,0
117009,1
10659,0
9724,0
65056,0
22381,0
84932,0
58816,0
29077,0
74031,0
116208,0
80494,1
1489,1
53230,0
47141,1
36015,1
62074,1
75734,0
31498,0
18036,1
14781,0
91784,0
117339,1
18566,0
54914,0
78089,0
89153,0
116444,0
92504,0
35145,1
